player,Pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
J. McGinn,MF,83,1,1,1,0,0,0,11,3,0,0,5,0,0,0,0,0,0,0,0
J. Bellegarde,MF,90,0,0,2,1,0,0,66,6,1,1,2,1,0,1,0,1,0,0,0
L. Ferguson,MF,90,0,0,0,0,0,0,44,1,1,2,6,1,0,0,0,0,0,0,0
D. Jean Jacques,MF,90,0,0,0,0,0,0,53,1,4,1,3,3,0,0,0,1,0,0,0
H. Delcroix,DF,90,0,0,0,0,0,0,66,0,2,1,1,0,0,0,0,1,0,0,0
M. Expérience,DF,90,0,0,1,0,0,0,43,5,4,0,2,2,0,0,0,1,0,0,0
R. Adé,DF,90,0,0,1,0,0,0,63,1,0,1,3,1,0,0,0,1,0,0,0
A. Gunn,GK,90,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,2,0
R. Providence,MF,85,0,1,1,1,0,0,24,3,1,0,2,2,0,0,0,1,0,0,0
J. Hendry,DF,90,0,0,0,0,0,0,56,0,0,0,2,0,0,0,0,0,0,0,0
G. Hanley,DF,90,0,0,0,0,0,0,50,0,1,1,0,1,0,0,0,0,0,0,0
A. Robertson,DF,90,0,0,0,0,0,0,42,5,1,1,1,2,0,0,0,0,0,0,0
L. Shankland,FW,83,0,0,1,1,0,0,16,0,4,0,2,4,1,0,0,0,0,0,0
B. Gannon-Doak,MF,75,0,0,1,1,0,0,23,2,1,0,1,0,0,0,0,0,0,0,0
C. Arcus,DF,90,0,0,0,0,0,0,35,2,0,2,2,3,0,0,0,1,0,0,0
A. Hickey,DF,75,0,0,0,0,0,0,35,1,0,1,4,2,0,1,0,0,0,0,0
S. McTominay,MF,90,0,0,2,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0
J. Casimir,Sub,29,0,0,1,0,0,0,20,2,0,0,2,1,0,0,0,0,0,0,0
R. Christie,Sub,15,0,0,0,0,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0
J. Placide,GK,90,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,1,0,1,0
F. Pierrot,FW,90,0,1,1,1,0,0,6,0,0,0,2,4,2,0,0,1,0,0,0
C. Adams,FW,75,0,1,0,0,0,0,11,0,0,0,1,4,0,0,0,0,0,0,0
L. Deedson,MF,61,0,0,1,0,0,0,8,3,0,0,1,2,0,0,0,1,0,0,0
Y. Fortuné,Sub,5,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
K. McLean,Sub,7,0,0,0,0,0,0,2,1,1,1,0,1,0,1,0,0,0,0,0
W. Isidor,FW,76,0,0,1,1,0,0,9,0,0,0,0,3,1,0,0,1,0,0,0
L. Joseph,Sub,14,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
N. Patterson,Sub,15,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
L. Dykes,Sub,15,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0
F. Curtis,Sub,7,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0
