G,A,RC,YC,Crn,S,SOnT,BS,P,C,Tk,O,FC,FW,SAV,
F. Balogun,2,0,0,0,0,5,3,1,15,1,0,2,0,4,0
M. Tillman,0,1,0,0,1,5,2,2,38,1,0,0,1,4,0
T. Ream,0,0,0,0,0,0,0,0,90,0,1,0,0,0,0
T. Adams,0,0,0,1,0,0,0,0,59,0,2,0,2,3,0
S. Dest,0,0,0,0,2,0,0,0,34,2,0,0,0,0,0
M. Freese,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
C. Richards,0,0,0,0,0,1,0,0,84,0,1,0,3,1,0
A. Robinson,0,0,0,0,0,0,0,0,57,7,1,0,1,0,0
A. Freeman,0,1,0,0,0,0,0,0,74,1,1,0,1,0,0
W. McKennie,0,0,0,0,0,0,0,0,51,4,0,0,0,0,0
C. Pulisic,0,1,0,0,0,0,0,0,22,2,2,0,1,1,0
S. Berhalter,0,0,0,0,0,1,0,0,28,1,0,0,0,1,0
R. Pepi,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0
T. Weah,0,0,0,0,0,2,0,1,14,0,0,0,2,0,0
G. Reyna,1,0,0,0,0,1,1,0,9,0,0,0,1,2,0
J. Cáceres,0,0,0,1,0,0,0,0,31,3,5,0,3,2,0
D. Gómez,0,0,0,1,1,4,0,2,27,0,2,0,1,0,0
J. Alonso,0,0,0,1,0,0,0,0,36,1,2,0,1,1,0
J. Enciso,0,1,0,0,0,2,0,1,25,1,2,0,0,4,0
G. Gómez,0,0,0,0,0,0,0,0,29,0,0,1,2,0,0
O. Alderete,0,0,0,0,0,0,0,0,32,0,0,0,1,1,0
A. Sanabria,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0
A. Cubas,0,0,0,0,0,0,0,0,31,0,5,0,5,0,0
O. Gill,0,0,0,0,0,0,0,0,25,0,0,0,0,0,3
M. Almirón,0,0,0,1,0,2,0,2,23,0,2,0,1,1,0
D. Bobadilla,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Mauricio,1,0,0,0,0,1,1,0,20,0,2,0,0,1,0
Á. Arce,0,0,0,1,0,0,0,0,6,0,1,0,1,0,0
G. Velázquez,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
R. Sosa,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
A. Romero,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0
Total,4,4,0,6,4,25,7,9,917,24,30,3,30,29,3
