,Pos.,AP,HW,SIB,SOB,HS,xG,GK,Ti,GOTB,RFG,LFG,HG,PG,GFSP,FaA,SCA
C. Pulisic,MF,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
M. Tillman,MF,30,0,4,1,0,0.646,0,1,0,0,0,0,0,0,0,3
S. Dest,MF,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
T. Adams,MF,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
W. McKennie,MF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
M. Freese,GK,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
O. Gill,GK,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
A. Freeman,DF,64,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1
A. Robinson,DF,44,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1
C. Richards,DF,84,0,1,0,1,0.042,0,0,0,0,0,0,0,0,0,0
G. Gómez,DF,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Alonso,DF,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1
J. Cáceres,DF,19,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
O. Alderete,DF,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
T. Ream,DF,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A. Cubas,MF,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Bobadilla,MF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D. Gómez,MF,22,0,2,2,0,0.202,0,0,0,0,0,0,0,0,0,0
M. Almirón,MF,18,0,0,2,0,0.07,0,0,0,0,0,0,0,0,0,2
A. Sanabria,FW,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
F. Balogun,FW,10,0,5,0,1,0.469,0,0,0,1,1,0,0,0,0,0
J. Enciso,FW,20,0,1,1,0,0.047,0,0,0,0,0,0,0,0,0,1
A. Romero,MF,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G. Reyna,MF,8,0,1,0,0,0.077,0,0,0,1,0,0,0,0,0,0
G. Velázquez,DF,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Mauricio,MF,14,0,1,0,0,0.217,0,1,0,0,1,0,0,0,0,0
R. Pepi,FW,3,0,1,0,0,0.115,0,0,0,0,0,0,0,0,0,1
R. Sosa,FW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S. Berhalter,MF,20,0,0,1,0,0.02,0,0,0,0,0,0,0,0,0,0
T. Weah,FW,13,0,1,1,0,0.05,0,0,0,0,0,0,0,0,0,0
Á. Arce,FW,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,,741,-,17,8,2,1.955,10,40,-,2,2,-,-,-,1,19
