player,Pos.,Rank,PTS,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
F. Balogun,FW,1,9.62,72,2,3,1,1,0,0,15,1,0,0,4,0,2,0,0,0,0,0,0
M. Tillman,MF,2,8.68,82,0,2,1,2,0,1,38,1,0,1,4,1,0,0,0,1,0,0,0
A. Freeman,DF,3,8,90,0,0,0,0,0,1,74,1,1,2,0,1,0,0,0,1,0,0,0
Mauricio,Sub,4,7.7,45,1,1,0,0,0,0,20,0,2,0,1,0,0,0,0,1,0,0,0
T. Ream,DF,5,7.6,90,0,0,0,0,0,0,90,0,1,1,0,0,0,0,0,1,0,0,0
C. Richards,DF,6,7.48,90,0,0,1,0,0,0,84,0,1,1,1,3,0,0,0,1,0,0,0
J. Enciso,FW,7,7.42,90,0,0,1,1,0,1,25,1,2,0,4,0,0,0,0,4,0,0,0
T. Adams,MF,8,7.28,90,0,0,0,0,0,0,59,0,2,2,3,2,0,1,0,1,0,0,0
G. Reyna,Sub,9,7.18,8,1,1,0,0,0,0,9,0,0,0,2,1,0,0,0,0,0,0,0
D. Gómez,MF,10,7.04,80,0,0,2,2,0,0,27,0,2,2,0,1,0,1,0,3,0,0,0
C. Pulisic,MF,11,6.98,45,0,0,0,0,0,1,22,2,2,0,1,1,0,0,0,0,0,0,0
A. Robinson,DF,12,6.78,90,0,0,0,0,0,0,57,7,1,0,0,1,0,0,0,1,0,0,0
J. Cáceres,DF,13,6.58,79,0,0,0,0,0,0,31,3,5,0,2,3,0,1,0,3,0,0,0
W. McKennie,MF,14,6.5,90,0,0,0,0,0,0,51,4,0,0,0,0,0,0,0,1,0,0,0
S. Berhalter,Sub,15,6.48,45,0,0,1,0,0,0,28,1,0,1,1,0,0,0,0,1,0,0,0
M. Almirón,MF,16,6.46,79,0,0,0,2,0,0,23,0,2,1,1,1,0,1,0,3,0,0,0
J. Alonso,DF,17,6.44,90,0,0,0,0,0,0,36,1,2,2,1,1,0,1,0,4,0,0,0
S. Dest,MF,18,6.42,72,0,0,0,0,0,0,34,2,0,1,0,0,0,0,0,0,0,0,0
A. Cubas,MF,19,6.22,90,0,0,0,0,0,0,31,0,5,0,0,5,0,0,0,4,0,0,0
O. Alderete,DF,20,6.14,90,0,0,0,0,0,0,32,0,0,2,1,1,0,0,0,4,0,0,0
T. Weah,Sub,21,5.88,18,0,0,1,1,0,0,14,0,0,0,0,2,0,0,0,1,0,0,0
R. Pepi,Sub,22,5.76,18,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0
G. Gómez,DF,23,5.58,90,0,0,0,0,0,0,29,0,0,1,0,2,1,0,0,4,0,0,0
A. Romero,Sub,23,5.58,10,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,1,0,0,0
R. Sosa,Sub,25,5.56,11,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0
G. Velázquez,Sub,47,5.46,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
Á. Arce,Sub,48,5.42,28,0,0,0,0,0,0,6,0,1,0,0,1,0,1,0,1,0,0,0
A. Sanabria,FW,49,5.38,62,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,3,0,0,0
M. Freese,GK,50,5.3,90,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0
D. Bobadilla,MF,50,5.3,45,0,0,0,0,1,0,10,0,0,2,0,0,0,0,0,3,0,0,0
O. Gill,GK,52,5.1,90,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,4,0,3,0
