player,Pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
L. Messi,FW,80,3,4,2,0,0,0,37,3,2,0,1,1,1,0,0,0,0,0,0
A. Mandi,DF,90,0,0,0,0,0,0,105,0,1,2,4,0,0,0,0,3,0,0,0
R. Bensebaini,DF,90,0,0,0,0,0,0,95,0,2,3,2,0,0,0,0,3,0,0,0
R. De Paul,MF,90,0,0,0,0,0,1,51,1,3,2,1,0,0,0,0,0,0,0,0
E. Fernández,MF,90,0,0,0,0,0,0,67,0,4,2,1,1,0,0,0,0,0,0,0
A. Mac Allister,MF,90,0,1,1,0,0,0,64,0,1,2,1,2,0,0,0,0,0,0,0
Lisandro Martínez,DF,90,0,0,0,0,0,0,67,0,2,1,0,0,0,0,0,0,0,0,0
R. Aït-Nouri,DF,90,0,0,0,0,0,0,48,3,4,1,1,1,0,0,0,3,0,0,0
C. Romero,DF,80,0,0,0,0,0,0,66,0,2,0,1,2,0,0,0,0,0,0,0
N. Bentaleb,MF,82,0,0,0,0,0,0,56,0,2,2,0,0,0,0,0,3,0,0,0
F. Chaïbi,FW,90,0,0,3,0,0,0,49,2,2,0,0,1,1,0,0,3,0,0,0
T. Almada,MF,55,0,0,1,0,0,0,35,0,2,0,1,0,1,0,0,0,0,0,0
I. Maza,MF,81,0,0,0,1,0,0,47,0,0,0,2,0,0,0,0,3,0,0,0
F. Medina,DF,90,0,0,0,0,0,0,32,0,2,0,1,2,0,0,0,0,0,0,0
G. Montiel,DF,45,0,0,0,0,0,0,21,0,2,1,0,1,0,0,0,0,0,0,0
N. Otamendi,Sub,10,0,0,0,0,0,0,16,0,2,1,0,0,0,0,0,0,0,0,0
N. González,Sub,35,0,0,0,0,0,1,13,1,0,0,0,0,0,0,0,0,0,0,0
N. Molina,Sub,45,0,0,0,0,0,0,24,0,1,1,0,0,0,0,0,0,0,0,0
E. Martínez,GK,90,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
R. Belghali,DF,90,0,0,0,0,0,0,35,1,3,0,0,2,0,0,0,3,0,0,0
A. Hadj Moussa,FW,64,0,0,0,1,0,0,21,1,1,0,1,0,0,0,0,2,0,0,0
H. Aouar,Sub,26,0,0,1,0,0,0,21,0,0,0,1,0,0,0,0,1,0,0,0
Lautaro Martínez,FW,55,0,1,0,0,0,0,13,1,1,0,0,2,1,0,0,0,0,0,0
R. Mahrez,Sub,26,0,0,0,1,0,0,19,0,0,0,1,0,0,0,0,1,0,0,0
H. Boudaoui,MF,64,0,0,0,0,0,0,22,1,2,0,0,2,0,0,0,2,0,0,0
L. Zidane,GK,90,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,3,0,3,0
R. Zerrouki,Sub,8,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0
N. Paz,Sub,10,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0
J. Alvarez,Sub,35,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,0,0,0
A. Boulbina,Sub,9,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
A. Gouiri,FW,64,0,0,0,0,0,0,18,0,0,0,1,1,0,0,0,2,0,0,0
M. Amoura,Sub,26,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0
