Player,Pos.,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
Vozinha,GK,120,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,3,0,8,0
Sidny Cabral,DF,120,1,2,0,0,0,0,45,7,1,0,2,0,0,0,0,3,0,0,0
Deroy Duarte,MF,100,1,2,0,0,0,0,43,0,1,2,0,3,0,0,0,2,0,0,0
Pico Lopes,DF,120,0,0,0,0,0,0,55,0,2,2,1,0,0,0,0,3,0,0,0
Ryan Mendes,MF,80,0,0,1,1,0,1,18,2,1,1,0,0,0,0,0,1,0,0,0
Diney Borges,DF,120,0,1,1,0,1,0,59,0,3,1,0,1,0,0,0,3,0,0,0
Yannick Semedo,Sub,20,0,0,1,0,0,1,21,2,0,1,0,0,0,0,0,1,0,0,0
Jamiro Monteiro,Sub,53,0,0,0,1,0,0,30,2,4,0,1,2,0,0,0,2,0,0,0
Kevin Pina,MF,100,0,0,1,0,0,0,55,0,3,0,0,2,0,1,0,2,0,0,0
Jovane Cabral,MF,80,0,0,0,1,0,0,19,1,2,0,2,1,0,0,0,1,0,0,0
Steven Moreira,DF,120,0,0,0,1,0,0,37,3,0,0,2,0,0,0,0,3,0,0,0
Laros Duarte,MF,67,0,0,0,0,0,0,18,0,1,1,1,0,0,0,0,1,0,0,0
Hélio Varela,Sub,40,0,0,1,1,0,0,18,1,0,0,1,0,1,0,0,2,0,0,0
Nuno da Costa,FW,67,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0
Dailon Livramento,Sub,53,0,0,0,0,0,0,10,1,1,0,0,1,1,0,0,2,0,0,0
Willy Semedo,Sub,40,0,0,0,1,0,0,8,1,0,0,0,2,0,0,0,2,0,0,0
Gilson Benchimol,Sub,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
