Player,Pos.,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
João Paulo,DF,90,0,0,1,1,0,0,48,5,1,4,3,0,0,0,0,0,0,0,0
Deroy Duarte,MF,90,0,0,1,0,0,0,40,0,5,1,1,0,0,0,0,0,0,0,0
Pico Lopes,DF,90,0,0,1,0,0,0,52,0,2,2,2,0,0,0,0,0,0,0,0
Kevin Pina,MF,90,0,0,2,0,0,0,60,2,2,1,2,2,0,0,0,0,0,0,0
Vozinha,GK,90,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,3,0
Ryan Mendes,MF,71,0,0,0,1,0,0,34,1,2,1,0,1,0,0,0,0,0,0,0
Diney Borges,DF,90,0,0,0,0,0,0,64,0,1,0,0,1,0,0,0,0,0,0,0
Wagner Pina,DF,89,0,0,0,1,0,0,37,2,0,1,3,1,0,1,0,0,0,0,0
Willy Semedo,MF,61,0,0,2,0,0,0,15,1,0,2,2,2,0,0,0,0,0,0,0
Jamiro Monteiro,MF,71,0,1,0,1,0,0,29,4,0,0,0,2,0,0,0,0,0,0,0
Laros Duarte,Sub,19,0,1,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0
Nuno da Costa,Sub,29,0,0,1,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0
Garry Rodrigues,Sub,19,0,0,0,1,0,0,6,1,1,0,0,0,2,0,0,0,0,0,0
Dailon Livramento,FW,61,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0
Hélio Varela,Sub,29,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0
Steven Moreira,Sub,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
