Player,Pos.,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
Vozinha,GK,90,0,0,0,0,0,0,42,0,0,0,1,0,0,0,0,0,0,7,0
Diney Borges,DF,90,0,1,0,0,0,0,40,0,5,2,0,0,0,0,0,0,0,0,0
Jamiro Monteiro,MF,79,0,0,0,0,0,0,21,0,3,2,0,0,0,0,0,0,0,0,0
Pico Lopes,DF,90,0,0,0,0,0,0,41,0,0,2,0,0,0,0,0,0,0,0,0
Kevin Pina,MF,90,0,0,0,1,0,0,20,0,1,1,1,0,0,0,0,0,0,0,0
Sidny Cabral,DF,76,0,0,0,0,0,0,17,1,2,2,2,1,0,1,0,0,0,0,0
Jovane Cabral,MF,61,0,0,1,0,0,0,13,0,2,1,0,0,0,0,0,0,0,0,0
Steven Moreira,DF,90,0,0,0,1,0,0,27,1,0,1,0,0,0,0,0,0,0,0,0
Ryan Mendes,MF,90,0,0,1,0,0,0,18,0,2,0,2,0,2,0,0,0,0,0,0
João Paulo,Sub,14,0,0,0,0,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0
Willy Semedo,Sub,29,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0
Nuno da Costa,Sub,29,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0
Deroy Duarte,Sub,29,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0
Dailon Livramento,FW,61,0,0,1,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0
Laros Duarte,MF,61,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
Telmo Arcanjo,Sub,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
