Player,Pos.,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
Kevin Pina,MF,71,1,1,0,0,0,0,25,0,2,1,0,1,0,0,0,2,0,0,0
Pico Lopes,DF,90,0,0,1,0,0,0,34,0,3,1,0,0,0,0,0,2,0,0,0
Hélio Varela,Sub,32,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Sidny Cabral,DF,90,0,0,1,1,0,0,17,4,2,1,5,1,0,1,0,2,0,0,0
Diney Borges,DF,90,0,0,1,0,0,0,39,0,2,1,0,0,0,1,0,2,0,0,0
Jamiro Monteiro,MF,80,0,0,1,1,0,0,23,1,0,2,1,0,0,0,0,2,0,0,0
Steven Moreira,DF,90,0,0,0,0,0,0,24,0,3,1,0,0,0,0,0,2,0,0,0
Laros Duarte,Sub,19,0,2,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0
Ryan Mendes,MF,90,0,0,0,2,0,0,16,0,0,2,0,0,0,0,0,2,0,0,0
Deroy Duarte,Sub,45,0,0,0,0,0,0,10,0,2,2,0,1,0,0,0,0,0,0,0
Yannick Semedo,Sub,10,0,0,0,0,0,0,13,0,1,1,1,1,0,0,0,0,0,0,0
Garry Rodrigues,MF,58,0,0,0,0,0,0,7,1,1,1,0,0,0,0,0,2,0,0,0
Nuno da Costa,Sub,32,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0
Telmo Arcanjo,MF,45,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,2,0,0,0
Gilson Benchimol,FW,58,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,2,0,0,0
Vozinha,GK,90,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,0,0,0
