player,Pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
N. Schlotterbeck,DF,90,1,2,0,0,0,0,86,0,2,5,1,2,0,0,0,1,0,0,0
K. Havertz,FW,90,2,2,0,2,0,0,41,0,0,1,1,1,0,0,0,1,0,0,0
F. Nmecha,MF,73,1,3,1,0,0,0,40,0,3,0,1,1,0,0,0,1,1,0,0
N. Brown,DF,73,1,1,0,1,0,1,36,5,2,1,0,2,0,0,0,1,0,0,0
J. Kimmich,DF,83,0,0,0,0,0,2,73,4,0,1,2,0,0,0,0,1,0,0,0
F. Wirtz,MF,90,0,0,1,2,0,1,64,1,2,1,0,0,0,0,0,1,0,0,0
J. Musiala,MF,64,1,1,0,2,0,0,26,0,3,0,2,2,0,0,0,1,0,0,0
D. Undav,Sub,26,1,1,0,0,0,2,12,0,0,0,0,1,0,0,0,0,0,0,0
A. Pavlović,MF,90,0,1,1,1,0,0,72,0,3,0,1,6,0,0,0,1,0,0,0
L. Comenencia,MF,90,1,1,1,0,0,0,26,1,0,4,1,1,0,0,0,7,0,0,0
L. Sané,MF,90,0,0,3,0,0,0,50,0,2,0,1,1,0,0,0,1,0,0,0
J. Bacuna,MF,90,0,0,1,0,0,0,33,1,3,5,2,2,0,0,0,7,0,0,0
L. Bacuna,MF,90,0,0,2,0,0,0,56,2,4,0,2,1,0,0,0,7,0,0,0
J. Tah,DF,73,0,0,0,0,0,0,71,0,0,0,0,2,0,0,0,1,0,0,0
A. Obispo,DF,90,0,0,0,0,0,0,41,0,2,3,0,0,1,0,0,7,0,0,0
D. Raum,Sub,17,0,1,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0
W. Anton,Sub,7,0,0,0,0,0,0,7,0,2,1,0,0,0,0,0,0,0,0,0
S. Floranus,DF,90,0,0,0,0,0,0,34,0,3,1,0,1,0,0,0,7,0,0,0
T. Chong,MF,83,0,0,1,0,0,0,19,0,0,0,8,1,0,0,0,6,0,0,0
L. Goretzka,Sub,17,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0
M. Neuer,GK,90,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,1,0,1,0
S. Hansen,FW,45,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,3,0,0,0
D. Fonville,DF,90,0,0,0,0,0,0,20,0,1,2,2,1,0,0,0,7,0,0,0
A. Rüdiger,Sub,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
J. Antonisse,Sub,45,0,0,0,0,0,0,21,3,1,0,0,0,0,0,0,4,0,0,0
R. Bazoer,DF,90,0,0,0,0,0,0,35,0,1,1,0,2,0,0,0,7,0,0,0
J. Locadia,FW,65,0,0,0,0,0,0,14,0,0,0,3,1,0,0,0,4,0,0,0
J. Margaritha,Sub,25,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0
G. Kastaneer,Sub,7,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0
E. Room,GK,90,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,7,0,4,0
