player,Pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
L. Romo,MF,71,1,1,0,0,0,0,37,0,4,1,1,0,0,0,0,0,0,0,0
E. Álvarez,DF,90,0,0,0,0,0,0,77,0,2,2,0,0,0,0,0,0,0,0,0
Kim Min-Jae,DF,90,0,0,0,0,0,0,97,0,2,0,0,0,0,0,0,1,0,0,0
Lee Gi-Hyuk,DF,90,0,0,0,0,0,0,88,0,2,0,0,0,0,0,0,1,0,0,0
Lee Han-Beom,DF,90,0,0,1,0,0,0,64,1,2,1,2,3,0,0,0,1,0,0,0
Kim Seung-Gyu,GK,90,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,1,0,3,0
R. Rangel,GK,90,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,2,0
Hwang In-Beom,MF,90,0,0,0,1,0,0,60,0,1,1,0,1,0,0,0,1,0,0,0
Lee Kang-In,MF,90,0,0,1,1,0,0,56,3,1,0,1,1,0,1,0,1,0,0,0
J. Gallardo,DF,90,0,0,1,0,0,0,40,2,2,0,1,1,0,0,0,0,0,0,0
É. Lira,MF,90,0,0,0,0,0,0,49,0,2,1,0,2,0,0,0,0,0,0,0
Lee Jae-Sung,MF,57,0,0,0,0,0,0,27,0,4,0,2,0,1,0,0,1,0,0,0
J. Vásquez,DF,90,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
Paik Seung-Ho,MF,77,0,0,0,0,0,0,52,1,1,1,0,1,0,1,0,1,0,0,0
J. Quiñones,FW,84,0,1,0,0,0,0,25,2,0,0,3,1,1,0,0,0,0,0,0
B. Gutiérrez,MF,71,0,0,1,0,0,0,19,0,1,1,1,1,0,0,0,0,0,0,0
Yang Hyun-Jun,Sub,19,0,1,0,0,0,0,9,0,2,1,0,1,1,0,0,0,0,0,0
R. Jiménez,FW,80,0,1,0,1,0,0,21,0,0,0,1,2,0,0,0,0,0,0,0
R. Alvarado,FW,80,0,0,1,0,0,0,25,2,1,0,0,0,1,0,0,0,0,0,0
O. Vargas,Sub,19,0,1,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0
Kim Moon-Hwan,MF,71,0,0,0,0,0,0,20,0,1,1,0,0,0,0,0,1,0,0,0
Cho Gue-Sung,Sub,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J. Sánchez,DF,90,0,0,0,0,0,0,27,0,0,1,0,1,1,0,0,0,0,0,0
Hwang Hee-Chan,Sub,33,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0
Seol Young-Woo,MF,71,0,0,1,0,0,0,30,2,0,0,0,0,3,0,0,1,0,0,0
Son Heung-Min,FW,57,0,0,0,0,0,0,12,0,1,0,1,0,1,0,0,1,0,0,0
Oh Hyeon-Gyu,Sub,33,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Eom Ji-Sung,Sub,19,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0
I. Reyes,Sub,10,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0
O. Pineda,Sub,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
S. Giménez,Sub,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
C. Huerta,Sub,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
