player,Pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
Vozinha,GK,90,0,0,0,0,0,0,42,0,0,0,1,0,0,0,0,0,0,7,0
Fabián Ruiz,MF,71,0,1,4,0,0,0,75,2,2,1,0,0,0,0,0,0,0,0,0
Aymeric Laporte,DF,90,0,1,1,0,0,0,110,1,0,2,0,0,0,0,0,0,0,0,0
Rodri,MF,87,0,0,1,1,0,0,126,2,1,0,0,1,0,0,0,0,0,0,0
Pedri,MF,90,0,1,0,1,0,0,99,11,2,1,0,1,1,1,0,0,0,0,0
Diney Borges,DF,90,0,1,0,0,0,0,40,0,5,2,0,0,0,0,0,0,0,0,0
Pau Cubarsí,DF,90,0,0,0,1,0,0,109,0,0,1,0,0,0,0,0,0,0,0,0
Marcos Llorente,DF,90,0,0,0,0,0,0,82,2,2,0,1,1,0,0,0,0,0,0,0
Marc Cucurella,DF,90,0,1,1,0,0,0,67,4,1,0,0,1,1,0,0,0,0,0,0
Mikel Oyarzabal,FW,90,0,1,3,1,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0
Ferran Torres,FW,81,0,1,1,2,0,0,34,4,0,0,0,2,0,0,0,0,0,0,0
Gavi,FW,71,0,0,0,1,0,0,30,2,3,1,0,2,0,0,0,0,0,0,0
Jamiro Monteiro,MF,79,0,0,0,0,0,0,21,0,3,2,0,0,0,0,0,0,0,0,0
Pico Lopes,DF,90,0,0,0,0,0,0,41,0,0,2,0,0,0,0,0,0,0,0,0
Kevin Pina,MF,90,0,0,0,1,0,0,20,0,1,1,1,0,0,0,0,0,0,0,0
Sidny Cabral,DF,76,0,0,0,0,0,0,17,1,2,2,2,1,0,1,0,0,0,0,0
Jovane Cabral,MF,61,0,0,1,0,0,0,13,0,2,1,0,0,0,0,0,0,0,0,0
Steven Moreira,DF,90,0,0,0,1,0,0,27,1,0,1,0,0,0,0,0,0,0,0,0
Ryan Mendes,MF,90,0,0,1,0,0,0,18,0,2,0,2,0,2,0,0,0,0,0,0
Unai Simón,GK,90,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0
Lamine Yamal,Sub,19,0,0,1,1,0,0,19,7,0,0,0,1,0,0,0,0,0,0,0
João Paulo,Sub,14,0,0,0,0,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0
Mikel Merino,Sub,19,0,1,0,0,0,0,10,0,1,0,0,1,0,0,0,0,0,0,0
Willy Semedo,Sub,29,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0
Nuno da Costa,Sub,29,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0
Deroy Duarte,Sub,29,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0
Dailon Livramento,FW,61,0,0,1,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0
Dani Olmo,Sub,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Laros Duarte,MF,61,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
Telmo Arcanjo,Sub,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Nico Williams,Sub,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
