player,Pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV
A. Freeman,DF,90,1,1,0,0,0,0,65,0,4,2,1,0,0,0,0,0,0,0,0
T. Adams,MF,90,0,0,0,0,0,0,68,0,4,4,2,1,0,0,0,0,0,0,0
M. Tillman,MF,90,0,0,0,0,0,0,43,8,3,3,3,0,0,0,0,0,0,0,0
C. Richards,DF,90,0,0,0,0,0,0,95,0,3,2,1,3,0,1,0,0,0,0,0
W. McKennie,MF,89,0,0,1,1,0,0,36,1,3,4,1,4,0,0,0,0,0,0,0
T. Ream,DF,90,0,0,0,0,0,0,76,0,0,2,1,0,0,0,0,0,0,0,0
A. Robinson,MF,80,0,0,0,0,0,0,44,3,3,2,0,0,0,1,0,0,0,0,0
M. Freese,GK,90,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,2,0
A. O'Neill,MF,90,0,0,0,0,0,0,38,1,1,2,4,0,0,0,0,2,0,0,0
S. Dest,MF,80,0,1,0,2,0,0,24,1,0,0,2,0,0,0,0,0,0,0,0
C. Metcalfe,Sub,45,0,1,0,0,0,0,15,1,1,1,0,0,0,0,0,0,0,0,0
A. Circati,DF,90,0,0,1,0,0,0,30,1,3,0,1,2,0,1,0,2,0,0,0
P. Okon-Engstler,MF,78,0,0,0,0,0,0,34,1,2,0,2,2,0,0,0,2,0,0,0
C. Volpato,Sub,29,0,0,1,0,0,0,17,3,0,0,1,0,0,0,0,0,0,0,0
F. Balogun,FW,89,0,0,0,2,0,0,14,0,0,1,2,2,0,1,0,0,0,0,0
J. Geria,Sub,45,0,0,0,0,0,0,17,1,1,1,0,2,0,0,0,0,0,0,0
R. Pepi,FW,74,0,0,1,1,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0
J. Italiano,DF,90,0,0,0,0,0,0,27,6,1,0,0,0,0,1,0,2,0,0,0
M. Touré,FW,45,0,1,0,0,0,0,7,0,1,0,0,1,0,0,0,2,0,0,0
J. Bos,DF,90,0,0,0,0,0,0,25,2,1,1,0,2,0,1,0,2,0,0,0
M. Leckie,MF,61,0,0,1,0,0,0,13,1,0,0,1,1,0,0,0,2,0,0,0
N. Velupillay,MF,45,0,0,0,0,0,0,8,0,2,0,0,1,0,0,0,2,0,0,0
J. Scally,Sub,10,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
S. Berhalter,Sub,16,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
J. Irvine,Sub,12,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
N. Irankunda,Sub,45,0,0,0,0,0,0,8,1,0,0,1,2,0,0,0,0,0,0,0
A. Trusty,Sub,10,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
G. Reyna,Sub,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
H. Souttar,DF,90,0,0,0,0,0,0,31,0,0,0,1,3,0,1,0,2,0,0,0
H. Wright,Sub,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
C. Burgess,DF,45,0,0,0,0,1,0,18,0,0,1,0,0,0,0,0,2,0,0,0
P. Beach,GK,90,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,1,0
