,Pos.,AP,HW,SIB,SOB,HS,xG,GK,Ti,GOTB,RFG,LFG,HG,PG,GFSP,FaA,SCA
É. Lira,MF,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
R. Rangel,GK,26,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
R. Williams,GK,28,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
C. Montes,DF,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I. Okon,DF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I. Reyes,DF,38,0,1,0,1,0.014,0,7,0,0,0,0,0,0,0,2
J. Gallardo,DF,34,0,1,1,0,0.035,0,13,0,0,0,0,0,0,0,0
J. Vásquez,DF,75,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
M. Mbokazi,DF,23,0,0,1,0,0.014,1,1,0,0,0,0,0,0,0,1
N. Sibisi,DF,41,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
B. Gutiérrez,MF,20,0,2,2,0,0.194,0,0,0,0,0,0,0,0,0,3
J. Adams,MF,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
J. Quiñones,MF,28,1,2,3,0,0.37,0,0,0,1,0,0,0,0,0,2
R. Alvarado,MF,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
T. Mokoena,MF,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Y. Sithole,MF,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Á. Fidalgo,MF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A. Modiba,DF,12,0,0,1,0,0.016,0,1,0,0,0,0,0,0,0,0
K. Mudau,DF,25,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
I. Rayners,FW,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. Foster,FW,1,0,1,0,1,0.043,0,0,0,0,0,0,0,0,0,0
R. Jiménez,FW,15,0,3,1,2,0.844,0,0,0,0,0,1,0,0,0,2
A. González,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. Vega,FW,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E. Makgopa,FW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E. Álvarez,MF,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G. Mora,MF,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L. Chávez,MF,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O. Appollis,FW,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Mbatha,MF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. Zwane,MF,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,,739,1,10,9,4,1.529,13,32,-,1,-,1,-,-,0,15
