player,Pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV,P_norm,Rating,Match
Sidny Cabral,DF,120,1,2,0,0,0,0,45,7,1,0,2,0,0,0,0,3,0,0,0,0.7627118644067796,8.8,Cabo Verde - vs Argentina
Deroy Duarte,MF,100,1,2,0,0,0,0,43,0,1,2,0,3,0,0,0,2,0,0,0,0.7288135593220338,7.9,Cabo Verde - vs Argentina
Ryan Mendes,MF,80,0,0,1,1,0,1,18,2,1,1,0,0,0,0,0,1,0,0,0,0.3050847457627119,7.3,Cabo Verde - vs Argentina
Jovane Cabral,MF,80,0,0,0,1,0,0,19,1,2,0,2,1,0,0,0,1,0,0,0,0.3220338983050847,6.7,Cabo Verde - vs Argentina
Yannick Semedo,Sub,20,0,0,1,0,0,1,21,2,0,1,0,0,0,0,0,1,0,0,0,0.3559322033898305,6.5,Cabo Verde - vs Argentina
Laros Duarte,MF,67,0,0,0,0,0,0,18,0,1,1,1,0,0,0,0,1,0,0,0,0.3050847457627119,6.2,Cabo Verde - vs Argentina
Steven Moreira,DF,120,0,0,0,1,0,0,37,3,0,0,2,0,0,0,0,3,0,0,0,0.6271186440677966,6.1,Cabo Verde - vs Argentina
Vozinha,GK,120,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,3,0,8,0,0.5423728813559322,6.0,Cabo Verde - vs Argentina
Pico Lopes,DF,120,0,0,0,0,0,0,55,0,2,2,1,0,0,0,0,3,0,0,0,0.9322033898305084,6.0,Cabo Verde - vs Argentina
Jamiro Monteiro,Sub,53,0,0,0,1,0,0,30,2,4,0,1,2,0,0,0,2,0,0,0,0.5084745762711864,6.0,Cabo Verde - vs Argentina
Diney Borges,DF,120,0,1,1,0,1,0,59,0,3,1,0,1,0,0,0,3,0,0,0,1.0,5.9,Cabo Verde - vs Argentina
Kevin Pina,MF,100,0,0,1,0,0,0,55,0,3,0,0,2,0,1,0,2,0,0,0,0.9322033898305084,5.8,Cabo Verde - vs Argentina
Hélio Varela,Sub,40,0,0,1,1,0,0,18,1,0,0,1,0,1,0,0,2,0,0,0,0.3050847457627119,5.8,Cabo Verde - vs Argentina
Nuno da Costa,FW,67,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0.11864406779661017,5.8,Cabo Verde - vs Argentina
Dailon Livramento,Sub,53,0,0,0,0,0,0,10,1,1,0,0,1,1,0,0,2,0,0,0,0.1694915254237288,5.7,Cabo Verde - vs Argentina
Gilson Benchimol,Sub,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.01694915254237288,5.7,Cabo Verde - vs Argentina
Willy Semedo,Sub,40,0,0,0,1,0,0,8,1,0,0,0,2,0,0,0,2,0,0,0,0.13559322033898305,5.6,Cabo Verde - vs Argentina
João Paulo,DF,90,0,0,1,1,0,0,48,5,1,4,3,0,0,0,0,0,0,0,0,0.75,8.0,Cabo Verde - vs Saudi Arabia
Kevin Pina,MF,90,0,0,2,0,0,0,60,2,2,1,2,2,0,0,0,0,0,0,0,0.9375,7.2,Cabo Verde - vs Saudi Arabia
Pico Lopes,DF,90,0,0,1,0,0,0,52,0,2,2,2,0,0,0,0,0,0,0,0,0.8125,7.0,Cabo Verde - vs Saudi Arabia
Jamiro Monteiro,MF,71,0,1,0,1,0,0,29,4,0,0,0,2,0,0,0,0,0,0,0,0.453125,7.0,Cabo Verde - vs Saudi Arabia
Deroy Duarte,MF,90,0,0,1,0,0,0,40,0,5,1,1,0,0,0,0,0,0,0,0,0.625,6.9,Cabo Verde - vs Saudi Arabia
Ryan Mendes,MF,71,0,0,0,1,0,0,34,1,2,1,0,1,0,0,0,0,0,0,0,0.53125,6.7,Cabo Verde - vs Saudi Arabia
Willy Semedo,MF,61,0,0,2,0,0,0,15,1,0,2,2,2,0,0,0,0,0,0,0,0.234375,6.6,Cabo Verde - vs Saudi Arabia
Wagner Pina,DF,89,0,0,0,1,0,0,37,2,0,1,3,1,0,1,0,0,0,0,0,0.578125,6.6,Cabo Verde - vs Saudi Arabia
Diney Borges,DF,90,0,0,0,0,0,0,64,0,1,0,0,1,0,0,0,0,0,0,0,1.0,6.3,Cabo Verde - vs Saudi Arabia
Laros Duarte,Sub,19,0,1,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0.125,6.2,Cabo Verde - vs Saudi Arabia
Vozinha,GK,90,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,3,0,0.53125,6.0,Cabo Verde - vs Saudi Arabia
Nuno da Costa,Sub,29,0,0,1,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0.09375,6.0,Cabo Verde - vs Saudi Arabia
Garry Rodrigues,Sub,19,0,0,0,1,0,0,6,1,1,0,0,0,2,0,0,0,0,0,0,0.09375,5.9,Cabo Verde - vs Saudi Arabia
Dailon Livramento,FW,61,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.140625,5.9,Cabo Verde - vs Saudi Arabia
Hélio Varela,Sub,29,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0.125,5.8,Cabo Verde - vs Saudi Arabia
Steven Moreira,Sub,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,5.8,Cabo Verde - vs Saudi Arabia
Diney Borges,DF,90,0,1,0,0,0,0,40,0,5,2,0,0,0,0,0,0,0,0,0,0.9523809523809523,7.3,Cabo Verde - vs Spain
Kevin Pina,MF,90,0,0,0,1,0,0,20,0,1,1,1,0,0,0,0,0,0,0,0,0.47619047619047616,6.8,Cabo Verde - vs Spain
Pico Lopes,DF,90,0,0,0,0,0,0,41,0,0,2,0,0,0,0,0,0,0,0,0,0.9761904761904762,6.6,Cabo Verde - vs Spain
Jamiro Monteiro,MF,79,0,0,0,0,0,0,21,0,3,2,0,0,0,0,0,0,0,0,0,0.5,6.5,Cabo Verde - vs Spain
Steven Moreira,DF,90,0,0,0,1,0,0,27,1,0,1,0,0,0,0,0,0,0,0,0,0.6428571428571429,6.5,Cabo Verde - vs Spain
Sidny Cabral,DF,76,0,0,0,0,0,0,17,1,2,2,2,1,0,1,0,0,0,0,0,0.40476190476190477,6.5,Cabo Verde - vs Spain
Jovane Cabral,MF,61,0,0,1,0,0,0,13,0,2,1,0,0,0,0,0,0,0,0,0,0.30952380952380953,6.4,Cabo Verde - vs Spain
Ryan Mendes,MF,90,0,0,1,0,0,0,18,0,2,0,2,0,2,0,0,0,0,0,0,0.42857142857142855,6.4,Cabo Verde - vs Spain
Laros Duarte,MF,61,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,6.1,Cabo Verde - vs Spain
João Paulo,Sub,14,0,0,0,0,0,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0.07142857142857142,6.1,Cabo Verde - vs Spain
Vozinha,GK,90,0,0,0,0,0,0,42,0,0,0,1,0,0,0,0,0,0,7,0,1.0,6.0,Cabo Verde - vs Spain
Willy Semedo,Sub,29,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0.21428571428571427,6.0,Cabo Verde - vs Spain
Dailon Livramento,FW,61,0,0,1,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0.09523809523809523,6.0,Cabo Verde - vs Spain
Nuno da Costa,Sub,29,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0.14285714285714285,5.9,Cabo Verde - vs Spain
Deroy Duarte,Sub,29,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0.19047619047619047,5.9,Cabo Verde - vs Spain
Telmo Arcanjo,Sub,11,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.047619047619047616,5.8,Cabo Verde - vs Spain
Kevin Pina,MF,71,1,1,0,0,0,0,25,0,2,1,0,1,0,0,0,2,0,0,0,0.6410256410256411,7.7,Cabo Verde - vs Uruguay
Hélio Varela,Sub,32,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.05128205128205128,7.0,Cabo Verde - vs Uruguay
Sidny Cabral,DF,90,0,0,1,1,0,0,17,4,2,1,5,1,0,1,0,2,0,0,0,0.4358974358974359,6.7,Cabo Verde - vs Uruguay
Jamiro Monteiro,MF,80,0,0,1,1,0,0,23,1,0,2,1,0,0,0,0,2,0,0,0,0.5897435897435898,6.7,Cabo Verde - vs Uruguay
Ryan Mendes,MF,90,0,0,0,2,0,0,16,0,0,2,0,0,0,0,0,2,0,0,0,0.41025641025641024,6.5,Cabo Verde - vs Uruguay
Laros Duarte,Sub,19,0,2,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0.20512820512820512,6.4,Cabo Verde - vs Uruguay
Deroy Duarte,Sub,45,0,0,0,0,0,0,10,0,2,2,0,1,0,0,0,0,0,0,0,0.2564102564102564,6.2,Cabo Verde - vs Uruguay
