Rank,Player,Team,Position,Games,Average Rating,Best Rating,Best Match,Worst Rating,Worst Match,Tournament Rating
1,Sidny Cabral,Cabo Verde,DF,3,7.33,8.8,Cabo Verde - vs Argentina,6.5,Cabo Verde - vs Spain,7.33
2,João Paulo,Cabo Verde,DF,2,7.05,8.0,Cabo Verde - vs Saudi Arabia,6.1,Cabo Verde - vs Spain,7.05
3,Kevin Pina,Cabo Verde,MF,4,6.88,7.7,Cabo Verde - vs Uruguay,5.8,Cabo Verde - vs Argentina,6.88
4,Deroy Duarte,Cabo Verde,MF,4,6.72,7.9,Cabo Verde - vs Argentina,5.9,Cabo Verde - vs Spain,6.72
5,Ryan Mendes,Cabo Verde,MF,4,6.72,7.3,Cabo Verde - vs Argentina,6.4,Cabo Verde - vs Spain,6.72
6,Wagner Pina,Cabo Verde,DF,1,6.6,6.6,Cabo Verde - vs Saudi Arabia,6.6,Cabo Verde - vs Saudi Arabia,6.6
7,Jamiro Monteiro,Cabo Verde,MF,4,6.55,7.0,Cabo Verde - vs Saudi Arabia,6.0,Cabo Verde - vs Argentina,6.55
8,Jovane Cabral,Cabo Verde,MF,2,6.55,6.7,Cabo Verde - vs Argentina,6.4,Cabo Verde - vs Spain,6.55
9,Pico Lopes,Cabo Verde,DF,4,6.43,7.0,Cabo Verde - vs Saudi Arabia,6.0,Cabo Verde - vs Argentina,6.43
10,Diney Borges,Cabo Verde,DF,4,6.32,7.3,Cabo Verde - vs Spain,5.8,Cabo Verde - vs Uruguay,6.32
11,Yannick Semedo,Cabo Verde,SUB,2,6.25,6.5,Cabo Verde - vs Argentina,6.0,Cabo Verde - vs Uruguay,6.25
12,Laros Duarte,Cabo Verde,MF,4,6.22,6.4,Cabo Verde - vs Uruguay,6.1,Cabo Verde - vs Spain,6.22
13,Hélio Varela,Cabo Verde,SUB,3,6.2,7.0,Cabo Verde - vs Uruguay,5.8,Cabo Verde - vs Argentina,6.2
14,Steven Moreira,Cabo Verde,DF,4,6.1,6.5,Cabo Verde - vs Spain,5.8,Cabo Verde - vs Saudi Arabia,6.1
15,Willy Semedo,Cabo Verde,MF,3,6.07,6.6,Cabo Verde - vs Saudi Arabia,5.6,Cabo Verde - vs Argentina,6.07
16,Vozinha,Cabo Verde,GK,4,6.0,6.0,Cabo Verde - vs Argentina,6.0,Cabo Verde - vs Argentina,6.0
17,Nuno da Costa,Cabo Verde,FW,4,5.88,6.0,Cabo Verde - vs Saudi Arabia,5.8,Cabo Verde - vs Argentina,5.88
18,Dailon Livramento,Cabo Verde,FW,3,5.87,6.0,Cabo Verde - vs Spain,5.7,Cabo Verde - vs Argentina,5.87
19,Garry Rodrigues,Cabo Verde,MF,2,5.85,5.9,Cabo Verde - vs Saudi Arabia,5.8,Cabo Verde - vs Uruguay,5.85
20,Telmo Arcanjo,Cabo Verde,MF,2,5.85,5.9,Cabo Verde - vs Uruguay,5.8,Cabo Verde - vs Spain,5.85
21,Gilson Benchimol,Cabo Verde,FW,2,5.8,5.9,Cabo Verde - vs Uruguay,5.7,Cabo Verde - vs Argentina,5.8
