player,Pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV,P_norm,Rating,Match
Sidny Cabral,DF,120,1,2,0,0,0,0,45,7,1,0,2,0,0,0,0,3,0,0,0,0.7627118644067796,8.8,Cabo Verde - vs Argentina
Deroy Duarte,MF,100,1,2,0,0,0,0,43,0,1,2,0,3,0,0,0,2,0,0,0,0.7288135593220338,7.9,Cabo Verde - vs Argentina
Ryan Mendes,MF,80,0,0,1,1,0,1,18,2,1,1,0,0,0,0,0,1,0,0,0,0.3050847457627119,7.3,Cabo Verde - vs Argentina
Jovane Cabral,MF,80,0,0,0,1,0,0,19,1,2,0,2,1,0,0,0,1,0,0,0,0.3220338983050847,6.7,Cabo Verde - vs Argentina
Yannick Semedo,Sub,20,0,0,1,0,0,1,21,2,0,1,0,0,0,0,0,1,0,0,0,0.3559322033898305,6.5,Cabo Verde - vs Argentina
Laros Duarte,MF,67,0,0,0,0,0,0,18,0,1,1,1,0,0,0,0,1,0,0,0,0.3050847457627119,6.2,Cabo Verde - vs Argentina
Steven Moreira,DF,120,0,0,0,1,0,0,37,3,0,0,2,0,0,0,0,3,0,0,0,0.6271186440677966,6.1,Cabo Verde - vs Argentina
Vozinha,GK,120,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,3,0,8,0,0.5423728813559322,6.0,Cabo Verde - vs Argentina
Pico Lopes,DF,120,0,0,0,0,0,0,55,0,2,2,1,0,0,0,0,3,0,0,0,0.9322033898305084,6.0,Cabo Verde - vs Argentina
Jamiro Monteiro,Sub,53,0,0,0,1,0,0,30,2,4,0,1,2,0,0,0,2,0,0,0,0.5084745762711864,6.0,Cabo Verde - vs Argentina
Diney Borges,DF,120,0,1,1,0,1,0,59,0,3,1,0,1,0,0,0,3,0,0,0,1.0,5.9,Cabo Verde - vs Argentina
Kevin Pina,MF,100,0,0,1,0,0,0,55,0,3,0,0,2,0,1,0,2,0,0,0,0.9322033898305084,5.8,Cabo Verde - vs Argentina
Hélio Varela,Sub,40,0,0,1,1,0,0,18,1,0,0,1,0,1,0,0,2,0,0,0,0.3050847457627119,5.8,Cabo Verde - vs Argentina
Nuno da Costa,FW,67,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0.11864406779661017,5.8,Cabo Verde - vs Argentina
Dailon Livramento,Sub,53,0,0,0,0,0,0,10,1,1,0,0,1,1,0,0,2,0,0,0,0.1694915254237288,5.7,Cabo Verde - vs Argentina
Gilson Benchimol,Sub,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.01694915254237288,5.7,Cabo Verde - vs Argentina
Willy Semedo,Sub,40,0,0,0,1,0,0,8,1,0,0,0,2,0,0,0,2,0,0,0,0.13559322033898305,5.6,Cabo Verde - vs Argentina
