player,Pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV,P_norm,Rating,Match
João Paulo,DF,90,0,0,1,1,0,0,48,5,1,4,3,0,0,0,0,0,0,0,0,0.75,8.0,Cabo Verde - vs Saudi Arabia
Kevin Pina,MF,90,0,0,2,0,0,0,60,2,2,1,2,2,0,0,0,0,0,0,0,0.9375,7.2,Cabo Verde - vs Saudi Arabia
Pico Lopes,DF,90,0,0,1,0,0,0,52,0,2,2,2,0,0,0,0,0,0,0,0,0.8125,7.0,Cabo Verde - vs Saudi Arabia
Jamiro Monteiro,MF,71,0,1,0,1,0,0,29,4,0,0,0,2,0,0,0,0,0,0,0,0.453125,7.0,Cabo Verde - vs Saudi Arabia
Deroy Duarte,MF,90,0,0,1,0,0,0,40,0,5,1,1,0,0,0,0,0,0,0,0,0.625,6.9,Cabo Verde - vs Saudi Arabia
Ryan Mendes,MF,71,0,0,0,1,0,0,34,1,2,1,0,1,0,0,0,0,0,0,0,0.53125,6.7,Cabo Verde - vs Saudi Arabia
Willy Semedo,MF,61,0,0,2,0,0,0,15,1,0,2,2,2,0,0,0,0,0,0,0,0.234375,6.6,Cabo Verde - vs Saudi Arabia
Wagner Pina,DF,89,0,0,0,1,0,0,37,2,0,1,3,1,0,1,0,0,0,0,0,0.578125,6.6,Cabo Verde - vs Saudi Arabia
Diney Borges,DF,90,0,0,0,0,0,0,64,0,1,0,0,1,0,0,0,0,0,0,0,1.0,6.3,Cabo Verde - vs Saudi Arabia
Laros Duarte,Sub,19,0,1,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0.125,6.2,Cabo Verde - vs Saudi Arabia
Vozinha,GK,90,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,3,0,0.53125,6.0,Cabo Verde - vs Saudi Arabia
Nuno da Costa,Sub,29,0,0,1,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0.09375,6.0,Cabo Verde - vs Saudi Arabia
Garry Rodrigues,Sub,19,0,0,0,1,0,0,6,1,1,0,0,0,2,0,0,0,0,0,0,0.09375,5.9,Cabo Verde - vs Saudi Arabia
Dailon Livramento,FW,61,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.140625,5.9,Cabo Verde - vs Saudi Arabia
Hélio Varela,Sub,29,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0.125,5.8,Cabo Verde - vs Saudi Arabia
Steven Moreira,Sub,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,5.8,Cabo Verde - vs Saudi Arabia
