player,Pos,MP,G,SOnT,SOffT,BS,OG,A,P,C,Tk,INT,FW,FC,O,YC,RC,GC,PW,SAV,PSAV,P_norm,Rating,Match
Kevin Pina,MF,71,1,1,0,0,0,0,25,0,2,1,0,1,0,0,0,2,0,0,0,0.6410256410256411,7.7,Cabo Verde - vs Uruguay
Hélio Varela,Sub,32,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.05128205128205128,7.0,Cabo Verde - vs Uruguay
Sidny Cabral,DF,90,0,0,1,1,0,0,17,4,2,1,5,1,0,1,0,2,0,0,0,0.4358974358974359,6.7,Cabo Verde - vs Uruguay
Jamiro Monteiro,MF,80,0,0,1,1,0,0,23,1,0,2,1,0,0,0,0,2,0,0,0,0.5897435897435898,6.7,Cabo Verde - vs Uruguay
Ryan Mendes,MF,90,0,0,0,2,0,0,16,0,0,2,0,0,0,0,0,2,0,0,0,0.41025641025641024,6.5,Cabo Verde - vs Uruguay
Laros Duarte,Sub,19,0,2,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0.20512820512820512,6.4,Cabo Verde - vs Uruguay
Deroy Duarte,Sub,45,0,0,0,0,0,0,10,0,2,2,0,1,0,0,0,0,0,0,0,0.2564102564102564,6.2,Cabo Verde - vs Uruguay
Pico Lopes,DF,90,0,0,1,0,0,0,34,0,3,1,0,0,0,0,0,2,0,0,0,0.8717948717948718,6.1,Cabo Verde - vs Uruguay
Yannick Semedo,Sub,10,0,0,0,0,0,0,13,0,1,1,1,1,0,0,0,0,0,0,0,0.3333333333333333,6.0,Cabo Verde - vs Uruguay
Steven Moreira,DF,90,0,0,0,0,0,0,24,0,3,1,0,0,0,0,0,2,0,0,0,0.6153846153846154,6.0,Cabo Verde - vs Uruguay
Vozinha,GK,90,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0.7692307692307693,6.0,Cabo Verde - vs Uruguay
Gilson Benchimol,FW,58,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,2,0,0,0,0.2564102564102564,5.9,Cabo Verde - vs Uruguay
Telmo Arcanjo,MF,45,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,2,0,0,0,0.3333333333333333,5.9,Cabo Verde - vs Uruguay
Diney Borges,DF,90,0,0,1,0,0,0,39,0,2,1,0,0,0,1,0,2,0,0,0,1.0,5.8,Cabo Verde - vs Uruguay
Garry Rodrigues,MF,58,0,0,0,0,0,0,7,1,1,1,0,0,0,0,0,2,0,0,0,0.1794871794871795,5.8,Cabo Verde - vs Uruguay
Nuno da Costa,Sub,32,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0.1794871794871795,5.8,Cabo Verde - vs Uruguay
